trail,city
 Landsberg Wanderung,"Landsberg am Lech, Bavaria, Germany"
 From Wildflecken to the Feuerberg,Naturpark Bayerische Rhön 
" Lerchenauer See, Füsselgraben und Allacher Forst","Munich, Bavaria, Germany"
 Durch das Bäderland (Etappe ): Oberbach Bad Brückenau,Naturpark Bayerische Rhön 
 Jubilaumsgrat and Sudweststeig,Naturschutzgebiet Schachen and Reintal
 Jenner Mountain Station to Hohes Brett,Berchtesgaden National Park
 Goldsteig Northern Route Stage : Philippsreut to Haidmühle,Bavarian Forest Nature Park
 Unterjoch Zinken Sorgschrofen,"Bad Hindelang, Bavaria, Germany"
 Wanderweg Nr.  Eußenheim Gesamtweg als Rundweg,"Eußenheim, Bavaria, Germany"
 Königstalalm Loop,Berchtesgaden National Park
 Bad Berneck Thiesenring Loop,Naturpark Fichtelgebirge
 To Obere Firstalm around the Spitzingsee,"Schliersee, Bavaria, Germany"
 Oberberg Soinsee Rotwand,Landschaftsschutzgebiet Rotwand
 Niedersonthofener Seerundweg,"Waltenhofen, Bavaria, Germany"
 Korches Trail: Weismain and the Kordigast,Naturpark Fränkische Schweiz Veldensteiner Forst
 Oytal von Oberstdorf,"Oberstdorf, Bavaria, Germany"
 From Bernau to the Seiser Alm,"Bernau a. Chiemsee, Bavaria, Germany"
 S Schlüsselfeld,Steigerwald Nature Park
 Buchrain ab Ohlstadt,"Ohlstadt, Bavaria, Germany"
 FrankenwaldSteigla Muschelkalkweg,"Marktrodach, Bavaria, Germany"
 Rund um Sagwasser-Tummelplatz-Allmeyerschloß-Marienburg,"Schönbrunner Wald, Bavaria, Germany"
 Drei-Seen-Land Rund um den Mitterund Lodensee,Naturschutzgebiet Östliche Chiemgauer Alpen
 Nemmersdorf St.Jobst-Weg,"Goldkronach, Bavaria, Germany"
 Rund um die Wildbarrenhöhle,"Oberaudorf, Bavaria, Germany"
 Goldsteig Northern Route Stage : Bayerisch Eisenstein to Großer Falkenstein,Bavarian Forest National Park
" Wallenfels, Geuser, Zeyern Loop",Naturpark Frankenwald
 Von den Weinreben zur Würzburg und durch die Altstadt,"Würzburg, Bavaria, Germany"
 Goldsteig Southern Route Stage : Schrottenbaummühle to Fischhaus,Bavarian Forest Nature Park
 Wanderung von Unterschleißheim zum Garchinger See,"Unterschleißheim, Bavaria, Germany"
 Partnachklamm and Partnachalm,"Garmisch-Partenkirchen, Bavaria, Germany"
 Hohenburg-Schmidmühlen,"Hohenburg, Bavaria, Germany"
 Trettstein Wasserfall,"Gräfendorf, Bavaria, Germany"
 Schlechtenbergalm and Gorialm,Gebirgskette Chiemgauer Alpen
 Hohenaschau Hochries,"Aschau im Chiemgau, Bavaria, Germany"
 Ziegenweg,"Hirschbach, Bavaria, Germany"
 Von Aschau über Gorialm zur Kampenwand,"Aschau im Chiemgau, Bavaria, Germany"
 Hoher Brunnen,"Berching, Bavaria, Germany"
 Auf den Stoffelberg über Niedersonthofener Wasserfall,"Waltenhofen, Bavaria, Germany"
 Premiumwanderweg: Luftiger Grad,Naturpark Nagelfluhkette 
 W  valley path: Eichhofen Laaber,"Nittendorf, Bavaria, Germany"
 Dörnbachshöhe und das Waldbachtal um Watterbach,Naturpark Bayerischer Odenwald
 To the Kehlstein,"Eck, Bavaria, Germany"
 Goldsteig Stage : Rötz to Herzogau,Naturpark Oberer Bayerischer Wald
 WaldErlebnispfad Fuchsmühl,"Fuchsmühl, Bavaria, Germany"
 Marquartstein Hochgern Roßkopf,"Marquartstein, Bavaria, Germany"
 Loop at Penzberg,"Penzberg, Bavaria, Germany"
 Around the Rannasee,"Wegscheid, Bavaria, Germany"
 Jurasteig: König-Otto-Schlaufe,"Velburg, Bavaria, Germany"
 Feichteckalm Runde,"Samerberg, Bavaria, Germany"
 Eistobel,"Grünenbach, Bavaria, Germany"
 Unterschleißheim nach Markt Indersdorf,"Unterschleißheim, Bavaria, Germany"
 Altmühl Panoramaweg Schlaufe  Dollnstein Wellheim,"Dollnstein, Bavaria, Germany"
 Zum Arnsberg und Kreuzberg,"Wildflecken, Bavaria, Germany"
 Rund um den Silbersee TB,"Treffelstein, Bavaria, Germany"
 Around the Klostersee,Naturschutzgebiet Seeoner Seen
 Riederstein Loop,"Tegernsee, Bavaria, Germany"
 Franz-Josefs Neideck-Westrunde,"Wiesenttal, Bavaria, Germany"
 Hiltpoltstein Through the cherry orchards,Naturpark Fränkische Schweiz Veldensteiner Forst
 Spalt zum Schnittlinger Loch,"Spalt, Bavaria, Germany"
 Rothenburger W Gebsattel,"Rothenburg ob der Tauber, Bavaria, Germany"
" Ähndl (Ramsach Kirche), Murnauer Moos, Staffelsee, und Uffing","Murnau am Staffelsee, Bavaria, Germany"
 Loop near Michelbach,"Alzenau, Bavaria, Germany"
 Schwarzhölzl Rundweg ab Oberschleißheim ,"Oberschleißheim, Bavaria, Germany"
 Von Aschau zur Gorialm,"Aschau im Chiemgau, Bavaria, Germany"
 Hirschauer Turmweg,"Hirschau, Bavaria, Germany"
 Über die Felder ab Kucha,"Offenhausen, Bavaria, Germany"
 Schweinbach Weihbüchl Oberschönbach,"Landshut, Bavaria, Germany"
 Jubiläumsweg,Naturschutzgebiet Allgäuer Hochalpen
 Thumsee Loop,Gebirgskette Chiemgauer Alpen
 Wartenberg östlicher Wanderung,"Wartenberg, Bavaria, Germany"
 Unterschleißheim bis Dachau,"Unterschleißheim, Bavaria, Germany"
 Im Ferdinandsthal ,Bavarian Forest National Park
 Grafenwöhr Trag Bärnwinkel,"Grafenwöhr, Bavaria, Germany"
 Vom Giebelhaus zum Engeratsgundsee,Naturschutzgebiet Allgäuer Hochalpen
 Keltenweg E,"Ebensfeld, Bavaria, Germany"
 Wüstenstein Draisendorf Loop,Naturpark Fränkische Schweiz Veldensteiner Forst
 Weihmichl Loop,"Weihmichl, Bavaria, Germany"
 Rundwanderung Thanninger Weiher,"Egling, Bavaria, Germany"
 Dürrnbachhörndel,Naturschutzgebiet Östliche Chiemgauer Alpen
 Waischenfeld Rundwanderweg gelber Ring,"Waischenfeld, Bavaria, Germany"
 Water Discovery Tour: Partnach Wetterstein Route,"Garmisch-Partenkirchen, Bavaria, Germany"
 Hiking in the ZugspitzLand Grainau Höhenrainweg,"Grainau, Bavaria, Germany"
 O  (Grünes Dreieck): Unterlichtenwald Altenthann,"Altenthann, Bavaria, Germany"
 Steinbergalm and Bründlingalm,Gebirgskette Chiemgauer Alpen
 Nördlich des Alpsees: Siedelalpe Rundweg,"Immenstadt, Bavaria, Germany"
 Höhenglück und Norissteig,Franconian Switzerland-Franconian Jura Nature Park
 Loop at Burgsinn,Spessart Nature Park
 Bad Grönenbach Herbisried,"Bad Grönenbach, Bavaria, Germany"
 Fürholzen und Massenhausen Wanderung,"Neufahrn bei Freising, Bavaria, Germany"
 Felsengarten Sanspareil,Felsengarten Sanspareil
